시도,지역명,민원기관지역
서울특별시,서울,서울
부산광역시,부산,부산
대구광역시,대구,대구
인천광역시,인천,인천
광주광역시,광주,익산
대전광역시,대전,대전
울산광역시,울산,울산
세종특별자치시,세종,세종
경기도,수원,서울
경기도,성남,서울
경기도,고양,서울
경기도,용인,서울
경기도,부천,서울
경기도,안산,서울
경기도,안양,서울
경기도,남양주,서울
경기도,화성,서울
경기도,평택,서울
경기도,의정부,서울
경기도,시흥,서울
경기도,파주,서울
경기도,광명,서울
경기도,김포,서울
경기도,군포,서울
경기도,광주,서울
경기도,이천,서울
경기도,양주,서울
경기도,오산,서울
경기도,구리,서울
경기도,안성,서울
경기도,포천,서울
경기도,의왕,서울
경기도,하남,서울
경기도,여주,서울
경기도,양평,서울
경기도,동두천,서울
경기도,과천,서울
강원도,춘천,원주
강원도,원주,원주
강원도,강릉,원주
강원도,동해,원주
강원도,태백,원주
강원도,속초,원주
강원도,삼척,원주
강원도,홍천,원주
강원도,횡성,원주
강원도,영월,원주
강원도,평창,원주
강원도,정선,원주
강원도,철원,원주
강원도,화천,원주
강원도,양구,원주
강원도,인제,원주
강원도,고성,원주
강원도,양양,원주
충청북도,청주,대전
충청북도,충주,대전
충청북도,제천,대전
충청북도,보은,대전
충청북도,옥천,대전
충청북도,영동,대전
충청북도,진천,대전
충청북도,괴산,대전
충청북도,음성,대전
충청북도,단양,대전
충청남도,천안,대전
충청남도,공주,대전
충청남도,보령,대전
충청남도,아산,대전
충청남도,서산,대전
충청남도,논산,대전
충청남도,계룡,대전
충청남도,당진,대전
충청남도,금산,대전
충청남도,부여,대전
충청남도,서천,대전
충청남도,청양,대전
충청남도,홍성,대전
충청남도,예산,대전
충청남도,태안,대전
전북특별자치도,전주,익산
전북특별자치도,군산,익산
전북특별자치도,익산,익산
전북특별자치도,정읍,익산
전북특별자치도,남원,익산
전북특별자치도,김제,익산
전북특별자치도,완주,익산
전북특별자치도,진안,익산
전북특별자치도,무주,익산
전북특별자치도,장수,익산
전북특별자치도,임실,익산
전북특별자치도,순창,익산
전북특별자치도,고창,익산
전북특별자치도,부안,익산
전라남도,목포,익산
전라남도,여수,익산
전라남도,순천,익산
전라남도,나주,익산
전라남도,광양,익산
전라남도,담양,익산
전라남도,곡성,익산
전라남도,구례,익산
전라남도,고흥,익산
전라남도,보성,익산
전라남도,화순,익산
전라남도,장흥,익산
전라남도,강진,익산
전라남도,해남,익산
전라남도,영안,익산
전라남도,무안,익산
전라남도,함평,익산
전라남도,영광,익산
전라남도,장성,익산
전라남도,완도,익산
전라남도,진도,익산
전라남도,신안,익산
경상북도,포항,부산
경상북도,경주,부산
경상북도,김천,부산
경상북도,안동,부산
경상북도,구미,부산
경상북도,영주,부산
경상북도,영천,부산
경상북도,상주,부산
경상북도,문경,부산
경상북도,경산,부산
경상북도,군위,부산
경상북도,의성,부산
경상북도,청송,부산
경상북도,영양,부산
경상북도,영덕,부산
경상북도,청도,부산
경상북도,고령,부산
경상북도,성주,부산
경상북도,칠곡,부산
경상북도,예천,부산
경상북도,봉화,부산
경상북도,울진,부산
경상북도,울릉,부산
경상남도,창원,부산
경상남도,진주,부산
경상남도,통영,부산
경상남도,사천,부산
경상남도,김해,부산
경상남도,밀양,부산
경상남도,거제,부산
경상남도,양산,부산
경상남도,의령,부산
경상남도,함안,부산
경상남도,창녕,부산
경상남도,고성,부산
경상남도,남해,부산
경상남도,하동,부산
경상남도,산청,부산
경상남도,함양,부산
경상남도,거창,부산
경상남도,합천,부산
제주특별자치도,제주,제주
제주특별자치도,서귀포,제주
