지역,기관명,전화번호,주소,위도,경도
서울,서울지방국토관리청,02-2110-0691,경기도 과천시 관문로 47 (중앙동) 정부과천청사 2동 3층,37.42659905,126.9833525
서울,수원국토관리사무소,031-283-0648,경기도 용인시 기흥구 용구대로 2291-12번지(신갈동 267-1번지),37.29122216,127.1068246
서울,의정부국토관리사무소,031-847-7680,경기도 의정부시 송산로 1153(용현동 77-5),37.7286255,127.088262
원주,원주지방국토관리청,033-746-6785,강원도 원주시 북원로 2236 합동청사,37.72864353,127.088177
원주,홍천국토관리사무소,033-435-5982,강원도 홍천군 홍천읍 태학여내길 32,37.70976472,127.9073846
원주,강릉국토관리사무소,033-650-8833,강원특별자치도 강릉시 성산면 경강로 1247,37.71697558,128.8249179
원주,정선국토관리사무소,033-563-0757,강원특별자치도 정선군 정선읍 와평1길 6,37.36921396,128.6839974
대전,대전지방국토관리청,042-670-3485,대전광역시 동구 계족로 447 (용전동 173-1),36.35182496,127.4317568
대전,논산국토관리사무소,041-730-5800,충청남도 논산시 시민로 121 논산국도유지건설사업소,36.17899689,127.1010899
대전,충주국토관리사무소,043-850-2530,충청북도 충주시 동량면 충원대로 1332,37.04392891,127.9298599
대전,보은국토관리사무소,043-540-2300,충청북도 보은군 장신로 54 보은국도유지건설사무소,36.48157202,127.7093195
대전,예산국토관리사무소,041-330-6610,충청남도 예산군 오가면 오가중앙로 69,36.68883915,126.7978839
익산,익산지방국토관리청,063-850-9254,전북특별자치도 익산시 익산대로52길 27 (남중동),35.95187991,126.9550508
익산,광주국토관리사무소,062-970-6306,광주광역시 광산구 임방울대로825번길 22-16 (쌍암동),35.21861141,126.850038
익산,전주국토관리사무소,063-220-0402,전라북도 완주군 이서면 이서남로 328,35.82203942,127.0370356
익산,남원국토관리사무소,063-620-2900,전라북도 남원시 이백로 13,35.42387482,127.4115502
익산,순천국토관리사무소,061-744-5375,전라남도 순천시 지현길 92 (덕월동),34.93138444,127.4915821
부산,부산지방국토관리청,051-660-1234,부산광역시 동구 초량중로 67 (초량동),35.11799467,129.0382914
부산,대구국토관리사무소,053-605-6092,대구광역시 북구 학정로1길 54 (태전동),35.91793035,128.5474687
부산,진주국토관리사무소,055-740-2690,경상남도 진주시 평거동 695-90,35.16423315,128.0389092
부산,영주국토관리사무소,054-630-0055,경상북도 영주시 장수면 장수로342번길 75,36.80076067,128.5887489
부산,포항국토관리사무소,054-261-7566,경상북도 포항시 북구 흥해읍 용전길 141,36.12111944,129.333665
부산,김해국토관리사무소,055-343-2475,경상남도 김해시 진영읍 하계로 70,36.12111944,129.333665
인천,(인천)도로이용불편신고,080-0482-000,세종특별자치시  도움6로 11 (어진동),36.50524293,127.2632412
울산,울산광역시 도로관리팀,052-229-5870,울산광역시 중구 단장골길 1 (복산동),35.56931559,129.3324378
세종,세종민원콜센터,044-120,세종특별자치시  보듬3로 114 (아름동),36.51191575,127.2475623
제주,(제주)도로이용불편신고,080-0482-000,세종특별자치시  도움6로 11 (어진동),36.50524293,127.2632412
